item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
73,GEREB-012-FIO-25,"Apoio Na Implementação Do Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade","Apoiar A Operacionalização Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade Por Meio Da Qualificação Dos Estabelecimentos De Saúde Da Atenção Especializada, Públicos E Privados Sem Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Melhorar A Qualidade Dos Serviços Prestados E Fortalecer A Gestão Em Âmbito Nacional",André Vinícius Pires Guerrero,NUSMAD,25027.000536/2024-33,TED,MINISTÉRIO DA SAÚDE,TED MS,126/2024,Ensino,2025-01-08,2029-12-12,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",52597643.00,5558998.50,47337875.82,1711134.93,350740.00,3497123.57,3497123.57,0.00,30.78,90.00
74,GEREB-014-FIO-25,Etnodesenvolvimento Com A Rede De Povos E Comunidades Tradicionais Do Brasil: Inclusão Produtiva Nos Sistemas Agrícolas Tradicionais,"Contribuir Para O Etnodesenvolvimento Através Da Inclusão Produtiva Dos Sistemas Agrícolas Tradicionais E Da Gestão Territorial Por Meio Da Rede Dos Povos E Comunidades Tradicionais Do Brasil – Rede Pcts, Composta Por Organizações Que Envolvem Todos Os Segmentos De Pcts E Fomentando A Conservação De Práticas Culturais, Saberes Tradicionais E Ancestrais Na Produção De Alimentos, Na Manutenção Dos Sistemas Agrícolas Tradicionais, Na Defesa De Seus Territórios E Lideranças Comunitárias, Na Proteção Do Meio Ambiente, No Autorreconhecimento Dos Segmentos Para A Sua Inclusão E Acesso Às Políticas Públicas E Ao Exercício Pleno De Sua Cidadania.",Denise Oliveira e Silva,PALIN,25027.000512/2024-84,TED,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,TED MDA,30879420240059-00364,Pesquisa,2025-01-10,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",6340050.00,4488660.12,2000100.01,2333868.71,485696.86,1669094.55,1669094.55,0.00,51.99,31.55
75,GEREB-009-FIO-25,"Apoio Na Implementação Do Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade","Apoiar A Operacionalização Programa De Avaliação, Qualificação E Monitoramento Da Atenção Especializada – Pmae - Qualidade Por Meio Da Qualificação Dos Estabelecimentos De Saúde Da Atenção Especializada, Públicos E Privados Sem Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Fins Lucrativos, Alinhado Às Diretrizes Da Política Nacional Da Atenção Especializada À Saúde (Pnaes), Com O Intuito De Melhorar A Qualidade Dos Serviços Prestados E Fortalecer A Gestão Em Âmbito Nacional.",Denise Oliveira e Silva,PALIN,25027.000543/2024-35,TED,CONAB,CONAB,39440041,Pesquisa,2025-01-08,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",11150000.00,8841567.62,2476875.84,7618756.02,1776117.49,-553305.89,-553305.89,0.00,86.17,22.21
76,GEREB-013-FIO-25,O Povo Cuidando Do Povo: Formação-Ação Territorial Para Participação E Controle Social Nas Políticas Públicas,"Promover A Articulação E Fortalecer A Participação Social Nas Políticas Públicas Para A Construção De Territórios Saudáveis, Sustentáveis E Solidários (Tsss) Nas Regiões Metropolitanas De Recife No Estado De Pernambuco (Pe) E Curitiba No Estado Do Paraná (Pr).",André Luiz Dutra Fenner,PSAT,25027.000526/2024-06,TED,SECRETARIA GERAL DA PRESIDÊNCIA DA REPÚBLICA,TED SG-PR,11/2024,Ensino,2025-01-08,2026-08-03,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",550000.00,588141.10,1000.02,439178.98,2700.00,146262.12,146262.12,0.00,74.67,0.18
77,GEREB-006-FIO-25,Mulheres Líderes E Ativistas: Fortalecendo A Participação Nos Espaços De Decisão De Políticas Públicas,"Promover O Engajamento Das Mulheres, Ligadas A Organizações Sociais, Órgãos Governamentais E Instituições De Apoio Que Atuam No Desenvolvimento E Articulação Da Agenda Dos Direitos Das Mulheres, Nos Processos De Formulação, Articulação E Implementação De Estratégias E Políticas Públicas Visando A Implementação De Planos E Políticas Para As Mulheres.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000541/2024-46,TED,MINISTÉRIO DAS MULHERES,TED MMULHERES,42/2024,Extensão,2025-01-08,2026-07-08,"Ciência, Tecnologia, Saúde E Sociedade",16973547.00,17260171.93,0.00,17256208.38,0.00,3963.55,3963.55,0.00,99.98,0.00
78,GEREB-007-FIO-25,A Gente Quer A Vida Como A Vida Quer: A Formação-Ação De Agentes Populares De Equidade Em Saúde No Rio Grande Do Sul – Fase 2.,"Realizar A Segunda Fase Da Formação-Ação Para Agentes Populares De Saúde No Rio Grande Do Sul Abordando A Promoção Da Saúde Com Equidade Nos Territórios Vulnerabilizados Do Rio Grande Do Sul, Visando Reduzindo Os Impactos Da Enchente De 2024 E Construindo O Bem Viver.",André Luiz Dutra Fenner,PSAT,25027.000518/2024-51,EMENDA PARLAMENTAR,DEP. DAIANA SANTOS,,43320013,Ensino,2025-01-06,2027-01-06,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",850000.00,609039.97,265000.00,565687.65,35700.00,7652.32,7652.32,0.00,92.88,31.18
79,GEREB-071-FEX-24,Saúde Pública De Precisão E Transformação Digital Na Saúde Do Distrito Federal.,"Apoiar A Realização De Desenvolvimento E Aplicação De Inovações Para Promoção De Saúde Pública De Precisão Através Da E Produção De Soluções Digitais Para A Plataforma De Dados Do Sistema Público De Saúde Do Distrito Federal (Sus/Df), Resultando Em Transformação Digital E Disrupção Tecnológica, Com Foco Na Efetivação Da Cidadania, Na Eficiência Da Gestão, Na Humanização E Equidade Da Assistência, Na Promoção Da Inteligência Epidemiológica.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000075/2024-07,CONVÊNIO PD&I,SES/DF,,143/2024,Desenvolvimento Científico E/Ou Tecnológico/ Estímulo À Inovação,2024-12-27,2028-12-27,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",13000000.00,7857547.41,5435835.74,6199051.45,1033586.00,624909.96,624909.96,0.00,78.89,41.81
80,GEREB-010-FIO-25,Qualificação Profissional Para O Fortalecimento Dos Direitos Sexuais E Reprodutivos Na Atenção Primária À Saúde Do Df,"Qualificar Os Conhecimentos E Práticas Dos Profissionais De Saúde Na Atenção Primária À Saúde Do Df Sobre O Cuidado Integral À Saúde Sexual E Reprodutiva, Incluindo Os Cuidados Às Pessoas Em Situações De Abortamento E Pós-Aborto.",Luciana Sepúlveda Köptcke,EGF,25027.000364/2024-06,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260001,Extensão,2025-01-10,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1000000.00,344967.68,164224.00,344015.68,0.00,952.00,952.00,0.00,99.72,16.42
81,GEREB-017-FIO-25,Cultivando Saúde No Campo - Formação-Ação De Agentes Populares Em Saúde Do Campo (Apsc) Em São Paulo.,"Promover A Saúde No Campo Por Meio Da Formação-Ação De Agentes Populares Em Saúde Do Campo (Apsc) Com Ênfase Na Discussão Dos Sistemas Alimentares E Seus Impactos Na Saúde Das Populações Do Campo, Para Atuarem Como Multiplicadores Nos Territórios Da Reforma Agrária No Estado De Sp.",André Luiz Dutra Fenner,UNASUS,25027.000289/2024-75,EMENDA PARLAMENTAR,DEP. JULIANA CARDOSO,,44020014,Ensino,2025-02-26,2026-08-26,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",600000.00,149626.98,458000.00,122930.92,1523.77,25172.29,25172.29,0.00,82.16,76.33
82,GEREB-018-FIO-25,"Educação Permanente Em Saúde: Capacitação De Trabalhadoras(Es), Gestoras(Es) E Usuárias(Os) Do Sus","Qualificar Os Profissionais De Saúde Do Sus, Por Meio Da Produção E Oferta De Cursos E Recursos Educacionais, Da Atualização, Adaptação E Reoferta De Cursos Produzidos No Âmbito Da Rede Unasus, Demandados Pela Secretaria De Gestão Do Trabalho E Da Educação Na Saúde E Da Transposição De Cursos, Outrora Ofertados E Disponibilizados Por Outras Plataformas Educacionais Para Oferta Pela Secretaria Executiva/Unasus.",Luciana Rezende Da Silva Garcez,PSAT,25027.000514/2024-73,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,153/2024,Ensino,2025-03-12,2029-03-12,"Ciência, Tecnologia, Saúde E Sociedade",34797400.00,15894457.48,19397400.01,7965843.12,2158540.55,5770073.81,5770073.81,0.00,50.12,55.74
