item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
96,GEREB-033-FIO-25,Aprimorar A Capacidade Institucional Do Sistema Único De Saúde (Sus)Frente Às Emergências Em Saúde Pública,"Promover E Executar Ações Estratégicas Para O Aprimoramento Da Capacidade Institucional Nacional De Preparação, Vigilância E Resposta Às Emergências Em Saúde Pública, No Âmbito Do Sus.",Márcio Aldrin França Cavalcante,NUGP,25027.000469/2025-38,TED,MINISTÉRIO DA SAÚDE,TED MS,80/2025,Extensão,2025-12-30,2030-12-30,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",40000000.00,523688.98,39485000.00,118772.48,372500.00,32416.50,32416.50,0.00,22.68,98.71
97,GEREB-001-FIO-26,Saberes E Práticas Da Enfermagem No Sus,"Impulsionar A Formação De Lideranças Em Enfermagem Para A Qualificação Da Prática E Da Representação Profissional, Com Vistas À Conquista Do Direito Universal À Saúde, Fortalecimento Do Sus, Valorização Dos Profissionais De Enfermagem E Qualificação Dos Cuidados Em Saúde, Com Ênfase Na Saúde Da Mulher, Práticas Integrativas E Complementares Em Cuidados Paliativos, E Educação Em Enfermagem, Articulada Com Implantação De Ferramenta De Produção, Disseminação E Difusão De Conhecimento Sobre A Enfermagem Brasileira.",Osvaldo Peralta Bonetti,ANGICOS,25027.000378/2025-01,EMENDA PARLAMENTAR,DEP. ANA PAULA LIMA,,43010018,Ensino,2026-01-09,2028-01-09,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",5000000.00,2700654.39,2391000.00,642120.28,592000.00,1466534.11,1466534.11,0.00,23.78,47.82
98,GEREB-005-FIO-26,Minha Casa Minha Vida – Melhoria Habitacional,"Suporte Técnico-Científico À Linha De Atendimento De Melhorias Habitacionais No Programa Minha Casa Minha Vida Pmcmv – Para Promover Segurança, Saúde E Qualidade De Vida Para As Famílias De Baixa Renda.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000426/2025-52,TED,MINISTÉRIO DAS CIDADES,TED MCIDADES,001/2025,Pesquisa,2026-01-14,2028-01-14,"Ciência, Tecnologia, Saúde E Sociedade",4000000.00,1422126.56,2600000.00,347047.34,80750.00,994329.22,994329.22,0.00,24.40,65.00
99,GEREB-004-FIO-26,"Sabores Que Cuidam, Saberes Que Alimentam: Os Agentes Populares De Saúde Do Campo E As Feiras Populares","Fortalecer Processos Comunitários De Promoção Da Saúde, Formação-Ação E Soberania Alimentar Em Territórios Rurais E Camponeses De Santa Catarina, Por Meio Da Qualificação Dos Agentes Populares De Saúde Do Campo (Apsc), Do Intercâmbio De Saberes Agroecológicos E Da Dinamização Pedagógica, Econômica E Sociopolítica Das Feiras Populares.",André Luiz Dutra Fenner,PSAT,25027.000582/2025-13,EMENDA PARLAMENTAR,DEP. PEDRO UCZAI,,28550001,Ensino,2026-01-13,2027-07-13,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1450000.00,133695.58,1319500.00,56854.56,54000.00,22841.02,22841.02,0.00,42.53,91.00
100,GEREB-009-FIO-26,Abordagens Intersetoriais E Integradas Para Uma Política De Drogas Para Pessoas No Brasil – Fase Ii,"Promover A Articulação, A Qualificação E A Integração De Políticas Públicas Sobre Drogas Em Municípios Prioritários Das Unidades Da Federação, Com Ênfase Na Prevenção, Articulação Intra E Intersetorial E Formação De Trabalhadores.",André Vinícius Pires Guerrero,NUSMAD,25027.000522/2025-09,TED,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,TED MJSP,04/2023,Extensão,2026-01-14,2026-10-20,"Ciência, Tecnologia, Saúde E Sociedade",7168369.27,7401080.22,0.02,4090494.22,2093584.74,1217001.26,1217001.26,0.00,55.27,0.00
101,GEREB-007-FIO-26,"Mulheres Do Campo, Das Águas E Das Florestas Na Construção E No Fortalecimento Da Democracia Participativa E Representativa",Implementar Espaço De Diálogo E Construção Compartilhada No Sentido De Contribuir Com O Fortalecimento Da Participação Do Segmento Das Mulheres Nos Processos Da Democracia Participativa E Representativa.,Osvaldo Peralta Bonetti,ANGICOS,25027.000440/2025-56,DISPENSA DE TED,SECRETARIA GERAL DA PRESIDÊNCIA DA REPÚBLICA,,01/2026,Ensino,2026-01-12,2026-11-22,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",100000.00,101021.47,0.00,101021.33,0.00,0.14,0.14,0.00,100.00,0.00
102,GEREB-006-FIO-26,"Radar De Territórios – Eixo Estratégico Da ""Picaps (Projeto Radar De Territórios Da Plataforma De Inteligência Cooperativa Territorial Com A Atenção Primária À Saúde)","Promover O Fortalecimento Estratégico Da Articulação Social E Da Gestão De Iniciativas De Economia Solidária Em Territórios Do Distrito Federal, Para Consolidar A Governança Local E A Resiliência Socioeconômica.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000422/2025-74,EMENDA PARLAMENTAR,DEP. REGINALDO VERAS,,44490005,Pesquisa,2026-01-14,2028-01-14,"Ciência, Tecnologia, Saúde E Sociedade",1300000.00,584773.28,720000.00,173218.23,25503.00,386052.05,386052.05,0.00,29.62,55.38
103,GEREB-003-FIO-26,"Desenvolvimento De Territórios Saudáveis, Sustentáveis E Solidários No Estado Do Pará","Promover O Desenvolvimento Territorial Saudável, Sustentável E Solidário No Estado Do Pará, Por Meio Da Integração Entre Sociobioeconomia Agroecológica, Formação Popular E Tecnologias Sociais, Fortalecendo Práticas Comunitárias De Promoção Da Saúde, Segurança Alimentar E Economia Solidária.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000563/2025-97,EMENDA PARLAMENTAR,DEP. AIRTON FALEIRO,,39010010,Pesquisa,2026-01-15,2027-07-15,Saúde E Sustentabilidade Socioambiental,400000.00,248202.84,160000.00,26053.47,0.00,222149.37,222149.37,0.00,10.50,40.00
104,GEREB-008-FIO-26,"Conexões De Saberes Iv – Ações De Educação Permanente, De Educação Popular, Promoção Da Equidade, Da Participação E Do Controle Social Em Defesa Do Sus,","Implementar Processos Educativos, Promotores Da Participação Popular, Do Controle Social E Qualificação Do Cuidado Em Saúde Contribuindo Com A Efetivação De Uma Rede De Agentes Educadores Populares Nos Territórios Do Sistema Único De Saúde Do Distrito Federal.",Osvaldo Peralta Bonetti,ANGICOS,25027.000513/2025-18,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260010,Ensino,2026-01-16,2028-12-31,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",10900000.00,6814790.95,4308000.00,2415410.80,1897425.00,2501955.15,2501955.15,0.00,35.44,39.52
105,GEREB-013-FIO-26,Saberes E Sabores Que Cuidam: Feiras Camponesas E Promoção Da Saúde Do Campo,Fortalecer A Formação-Ação Dos Agentes Populares De Saúde Do Campo (Apsc) Por Meio Da Construção E Intercâmbio De Saberes Da Agricultura Camponesa E De Sua Articulação Com A Promoção Da Saúde E A Agroecologia Nos Territórios Rurais E Camponeses.,André Luiz Dutra Fenner,PSAT,25027.000592/2025-59,EMENDA PARLAMENTAR,DEP. NILTO TATTO,,37350004,Ensino,2026-01-16,2027-07-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1000000.00,92207.79,910000.00,60449.39,18000.00,13758.40,13758.40,0.00,65.56,91.00
106,GEREB-015-FIO-26,"Entre Roças, Florestas E Ruas: Territórios Que Cultivam Saúde","Fortalecer Práticas Integradas De Promoção Da Saúde, Gestão Territorial Sustentável E Organização Comunitária Por Meio Da Articulação Entre Saberes Científicos, Conhecimentos Ancestrais E Práticas Socioterritoriais Das Populações Rurais, Periurbanas E Da Interface Campo–Cidade.",André Luiz Dutra Fenner,PSAT,25027.000595/2025-92,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260010,Ensino,2026-01-19,2027-07-19,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1800000.00,165957.00,1638000.00,73142.00,36500.00,56315.00,56315.00,0.00,44.07,91.00
107,GEREB-010-FIO-26,Ações De Educação Popular Para Promoção Da Saúde E Fortalecimento Da Participação Popular Nos Territórios,"Desenvolver Processo Formativo, Pautado Nos Princípios Da Educação Popular Em Saúde, Como Uma Ferramenta Para O Fortalecimento Da Participação E Controle Social, Por Meio Do Acolhimento E Troca De Saberes Como Estratégia Para Ressignificação E Protagonismo De Lideranças Comunitárias, Com Destaque Para A Defesa Dos Direitos Das Mulheres, Promoção Da Saúde E A Proteção De Populações Em Situação De Vulnerabilidade Social E Econômica.",Osvaldo Peralta Bonetti,ANGICOS,25027.000555/2025-41,EMENDA PARLAMENTAR,DEP. DENISE PESSOA,,43530003,Ensino,2026-01-16,2028-07-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",3000000.00,2101060.57,930000.00,366015.87,477700.00,1257344.70,1257344.70,0.00,17.42,31.00
108,GEREB-018-FIO-26,Curso De Especialização Em Saúde Bucal Na Atenção Primária À Saúde,"Produzir O Curso De Especialização Em Saúde Bucal Na Atenção Primária À Saúde, Com O Propósito De Capacitar Os Cirurgiões Dentistas Para Uma Atuação Mais Abrangente, Resolutiva E Articulada Com As Diretrizes Do Cuidado Em Saúde Bucal No Âmbito Da Atenção Primária À Saúde.",Kellen Cristina Da Silva Gasque,UNASUS,25027.000441/2025-09,TED,MINISTÉRIO DA SAÚDE,TED MS,098/2025,Ensino,2025-01-16,2027-07-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",3922084.00,279001.94,3644429.00,101215.32,112559.50,65227.12,65227.12,0.00,36.28,92.92
109,GEREB-017-FIO-26,Economia Solidária Promove Saúde Nas Periferias,Promover A Inclusão Produtiva Solidária Com Geração De Renda E O Fortalecimento Comunitário E Da Equidade Em Saúde Com Desenvolvimento Sustentável.,Wagner De Jesus Martins,COLABORATÓRIO,25027.000418/2025-14,TED,MINISTÉRIO DA IGUALDADE RACIAL,TED MIR,018/2025,Pesquisa,2025-10-01,2027-10-01,"Ciência, Tecnologia, Saúde E Sociedade",500000.00,508017.38,5000.01,54973.07,30000.00,423044.31,423044.31,0.00,10.82,1.00
110,GEREB-020-FIO-26,Apoio À Gestão Dos Bancos De Avaliadores Da Residência Médica E Da Residência Em Área Profissional Da Saúde,"Implementar Uma Estratégia Integrada De Apoio À Gestão Do Banco De Avaliadores Da Residência Médica E Do Banco De Avaliadores Da Residência Em Área Profissional Da Saúde, Com Vistas A Qualificar Os Processos De Avaliação Em Consonância Às Normativas Da Cnrm E Da Cnrms, Assegurar Sua Transparência E Garantir A Educação Permanente De Avaliadores.",Luciana Sepúlveda Köptcke,EGF,25027.000472/2025-51,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,82/2025,Ensino,2026-01-16,2029-01-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",9990288.00,816444.19,9192563.50,273552.88,48880.00,494011.31,494011.31,0.00,33.51,92.01
111,GEREB-011-FIO-26,Promoção Da Saúde No Campo – Formação-Ação De Agentes Populares Em Saúde Do Campo (Apsc) No Maranhão,"Promover A Saúde No Campo Por Meio Da Formação-Ação De Agentes Populares De Saúde Do Campo (Apsc), Com Ênfase Na Saúde Das Mulheres, Nas Práticas Populares Promotoras De Cuidado E Na Agroecologia, Para Atuarem Como Multiplicadores Nos Territórios Rurais E Camponeses Do Estado Do Maranhão.",André Luiz Dutra Fenner,PSAT,25027.000586/2025-00,EMENDA PARLAMENTAR,DEP. MÁRCIO JERRY,,38930008,Ensino,2026-01-19,2027-07-19,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",267993.00,24694.95,243873.64,20329.31,0.00,4365.64,4365.64,0.00,82.32,91.00
112,GEREB-019-FIO-26,Expansão E Ativação Da Rede De Hortos Agroflorestais Medicinais Biodinâmicos (Rhamb) Na Ses-Df,Fortalecer A Rede Colaborativa Entre Os Hortos Agroflorestais Medicinais Biodinâmicos (Hamb) Nos Serviços De Saúde Da Secretaria De Estado Da Saúde Do Distrito Federal (Ses/Df).,Wagner De Jesus Martins,COLABORATÓRIO,25027.000506/2025-16,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260010,Pesquisa,2026-01-16,2028-01-16,Saúde E Sustentabilidade Socioambiental,550000.00,51222.82,499999.99,27476.95,0.00,23745.87,23745.87,0.00,53.64,90.91
113,GEREB-021-FIO-26,Soluções Inovadoras Para Implantação De Tecnologias De Acesso À Água De Qualidade,"Avaliar A Viabilidade Econômica, Financeira E De Campo Do Uso Do Madidrop No Programa, Por Meio De Estudo De Custo Efetividade, Análise De Impacto Orçamentário E Estudo De Avaliação De Efetividade, Para Subsidiar Decisões De Política Pública É Expansão Nacional.",Vaneide Daciane Pedi,COLABORATÓRIO,25027.000575/2025-11,TED,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,TED MIDR,991539/2025,Pesquisa,2026-01-27,2028-01-27,"Ciência, Tecnologia, Saúde E Sociedade",3000000.00,1889314.81,1126881.00,257640.71,1161328.62,470345.48,470345.48,0.00,13.64,37.56
114,GEREB-023-FIO-26,"Fortalecer A Atuação Da Administração Pública No Enfrentamento Às Diversas Formas De Violência Contra As Mulheres, Por Meio Da Realização De Ações Formativas, Da Articulação Institucional, Da Produção De Instrumentos Orientadores E Da Estruturação De Redes De Lideranças Femininas, Contribuindo Para A Promoção Da Autonomia Econômica Das Mulheres, Da Saúde Integral E Da Igualdade De Gênero.","Apoiar A Promoção Dos Direitos Humanos, A Saúde Das Mulheres E A Erradicação Da Violência De Gênero Para A Promoção De Transformações Estruturais, Duradouras E Efetivas Na Prevenção Do Feminicídio E Na Garantia De Uma Vida Livre De Violência Para Todas As Mulheres.",Osvaldo Peralta Bonetti,ANGICOS,25027.000017/2026-37,TED,MINISTÉRIO DAS MULHERES,TED MMULHERES,01/2026,Extensão,2026-01-21,2028-01-21,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",15000000.00,13110252.35,2000000.00,10513598.97,1499050.00,1097603.38,1097603.38,0.00,80.19,13.33
115,GEREB-022-FIO-26,Promoção De Práticas De Educação Popular E De Desenvolvimento Saudável E Sustentável Nos Territórios Do Rio Grande Do Sul.,Implementar E Fortalecer Práticas De Educação Popular E De Desenvolvimento Saudável E Sustentável Nos Territórios Do Rio Grande Do Sul,Osvaldo Peralta Bonetti,ANGICOS,25027.000566/2025-21,EMENDA PARLAMENTAR,DEP. BOHN GASS,,28620023,Ensino,2026-01-16,2028-04-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1400000.00,0.00,1400000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
116,GEREB-002-FIO-26,Mobilização Marcha Das Margaridas 2027,"Fortalecer A Mobilização E Organização Das Mulheres Do Campo, Da Floresta E Das Águas Para A Marcha Das Margaridas 2027, Promovendo Formação Política, Agroecológica E Em Saúde, Além Da Articulação Territorial E Comunicação Popular.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000564/2025-31,EMENDA PARLAMENTAR,DEP. BOHN GASS,,28620023,Ensino,2026-01-14,2027-07-14,Saúde E Sustentabilidade Socioambiental,250000.00,181236.34,75000.00,24942.91,8800.00,147493.43,147493.43,0.00,13.76,30.00
117,GEREB-012-FIO-26,Do Pampa Ao Cuidado: Formação-Ação Dos Agentes Populares De Saúde Do Campo No Estado Do Rio Grande Do Sul.,"Fortalecer A Saúde No Campo Por Meio Da Formação-Ação De Agentes Populares De Saúde Do Campo (Apsc), Ampliando Suas Capacidades De Atuação E Promoção Do Cuidado Nos Territórios Rurais E Camponeses Do Estado Do Rio Grande Do Sul.",André Luiz Dutra Fenner,PSAT,25027.000590/2025-60,EMENDA PARLAMENTAR,DEP. MARIA DO ROSÁRO,,19830016,Ensino,2026-01-16,2027-07-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1400000.00,128823.20,1274000.00,109588.15,8000.00,11235.05,11235.05,0.00,85.07,91.00
118,GEREB-014-FIO-26,Fortalecimento Sociotécnico E Territorial Dos Empreendimentos Econômicos Solidários.,"Promover A Inclusão Produtiva A Partir Dos Princípios Da Economia Solidária Para O Desenvolvimento Territorial Saudável, Sustentável E Solidário.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000586/2025-00,TED,MINISTÉRIO DO TRABALHO E EMPREGO,TED MTE,43/2025,Pesquisa,2025-12-18,2027-12-30,"Ciência, Tecnologia, Saúde E Sociedade",5996100.00,102285.60,5896145.02,19737.12,30542.10,52006.38,52006.38,0.00,19.30,98.33
119,GEREB-024-FIO-26,"Redes Agroecológicas De Plantas Medicinais: Formação, Manejo Sustentável E Organização Comunitária.","Realizar Ações De Fortalecimento Técnico E Organizativo Das Redes De Produção De Plantas Medicinais, Por Meio De Assessoria Técnica Continuada E Da Elaboração E Disseminação De Materiais Formativos E Comunicacionais Voltados Ao Manejo Agroecológico E À Gestão Comunitária Da Produção.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000585/2025-57,TED,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,TED MDA,970963/2024,Pesquisa,2026-03-27,2027-09-27,Saúde E Sustentabilidade Socioambiental,2497000.00,305320.87,397000.82,27154.74,0.00,278166.13,278166.13,0.00,8.89,15.90
120,GEREB-025-FIO-26,Fortalecimento Dos Territórios E Da Participação Social No Sus: Formação-Ação De Agentes Populares E Comunitários De Equidade Em Saúde No Estado Do Rio Grande Do Sul,Desenvolver Processos De Formação-Ação Dos Agentes Populares E Comunitários De Equidade Em Saúde No Estado Do Rio Grande Do Sul.,André Luiz Dutra Fenner,PSAT,25027.000298/2026-28,EMENDA PARLAMENTAR,DEP. DAIANA SANTOS,,43320014,Ensino,2026-06-02,2028-06-02,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",8000000.00,0.00,8000000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
121,GEREB-027-FIO-26,"Onde Brota A Vida, Floresce O Cuidado: Estratégias Integradas De Saúde, Agroecologia E Saneamento Frente Às Mudanças Climáticas","Promover A Saúde Nos Territórios Rurais Da Metade Sul Do Rio Grande Do Sul Por Meio De Processos De Formação-Ação De Agentes Populares De Saúde Do Campo (Apsc), Articulando Agroecologia, Saneamento Agroecológico E Estratégias De Adaptação Às Mudanças Climáticas, Com Vistas Ao Fortalecimento Da Autonomia Das Comunidades, À Qualificação Das Práticas De Cuidado E À Incidência Em Políticas Públicas No Âmbito Do Sistema Único De Saúde (Sus).",André Luiz Dutra Fenner,PSAT,25027.000225/2026-36,EMENDA PARLAMENTAR,DEP. MARIA DO ROSÁRO,,19830018,Ensino,2026-06-03,2027-12-03,"Formação De Profissionais Para Saúde, Ciência, Tecnologia E Inovação",1000000.00,1800.00,998200.00,1800.00,0.00,0.00,0.00,0.00,100.00,99.82
122,GEREB-030-FIO-26,Práticas De Cuidados Em Educação Popular Para A Promoção De Territórios Saudáveis.,"Promover A Construção De Territórios Saudáveis Por Meio Da Implementação De Práticas Integradas De Educação Popular Em Saúde, Que Articulem Acolhimento E Cuidado Em Saúde Mental, A Arte Como Expressão E Produção De Sentidos, E A Formação Em Agroecologia E Práticas Sustentáveis, Fortalecendo Vínculos, Autonomia E O Protagonismo Dos Sujeitos Nos Territórios.",Osvaldo Peralta Bonetti,ANGICOS,25027.000257/2026-31,EMENDA PARLAMENTAR,DEP. ANA PAULA LIMA,,43010001,Extensão,2026-06-08,2028-12-08,Atenção Em Saúde,1800000.00,29600.00,1770400.00,29600.00,0.00,0.00,0.00,0.00,100.00,98.36
123,GEREB-032-FIO-26,Agentes Populares De Equidade Em Saúde No Estado Do Rio De Janeiro,"Desenvolver Formação-Ação De Agentes Populares De Equidade Em Saúde (Apes) No Estado Rio De Janeiro Visando Fortalecer Ações De Promoção Da Saúde E Equidade Em Saúde, Por Meio Da Reflexão Sobre Os Modos De Vida, Trabalho Das Pessoas E Sua Relação Com O Território, Permitindo Um Olhar Crítico Sobre O Racismo Ambiental.",André Luiz Dutra Fenner,PSAT,25027.000106/2026-83,EMENDA PARLAMENTAR,DEP. BANDEIRA DE MELLO,,43110003,Ensino,2026-06-16,2027-06-16,"Formação De Profissionais Para Saúde, Ciência, Tecnologia E Inovação",400000.00,0.00,400000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
124,GEREB-031-FIO-26,Desenvolvimento De Ações Para Implementação Da Modalidade De Apoio À Formação No Âmbito Do Programa Cozinha Solidária.,Desenvolvimento De Ações Para Implementação Da Modalidade De Apoio À Formação No Âmbito Do Programa Cozinha Solidária.,Denise Oliveira e Silva,PALIN,25027.000044/2026-18,TED,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",TED MDS,996568/2026,Ensino,2026-04-15,2028-04-15,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",5000000.00,2000000.00,3000000.00,194020.61,0.00,1805979.39,1805979.39,0.00,9.70,60.00
125,GEREB-041-FIO-26,"Formação-Ação Em Vigilância Territorial Em Saúde, Saneamento, Agroecológico E Tecnologias Sociais","Desenvolver E Implementar Uma Estratégia Integrada, Participativa E Territorializada De Vigilância Em Saúde, Articulando Saneamento Rural Agroecológico E Tecnologias Sociais, Em Comunidades Quilombolas E Veredeiras Do Noroeste De Minas Gerais (Mg), Especificamente No Município De Chapada Gaúcha.",Jorge Mesquita Huet Machado,PSAT,25027.000219/2026-89,EMENDA PARLAMENTAR,DEP. ROGÉRIO CORREIA,,40640019,Extensão,2026-06-23,2027-12-23,"Ciência, Tecnologia, Saúde E Sociedade",500000.00,900.00,499100.00,900.00,0.00,0.00,0.00,0.00,100.00,99.82
126,GEREB-036-FIO-26,"Promoção Da Saúde, Equidade E Controle Social No Estado De São Paulo.","Desenvolver Processos De Formação-Ação Que Articulem Teoria E Prática, Com O Objetivo De Refletir Criticamente E Produzir Conhecimento Situado, De Base Territorial, Acerca Da Promoção Da Saúde, Da Equidade E Do Controle Social No Estado De São Paulo, Fortalecendo A Participação Social E A Atuação Dos Diferentes Sujeitos Nos Territórios.",André Luiz Dutra Fenner,PSAT,25027.000216/2026-45,EMENDA PARLAMENTAR,DEP. ORLANDO SILVA,,37370009,Ensino,2026-06-23,2027-12-23,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",800000.00,0.00,800000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
127,GEREB-046-FIO-26,Socioculturais Para O Fortalecimento De Políticas Públicas No Estado Do Pará,"Promover O Desenvolvimento De Territórios Saudáveis E Dinâmicas Socioculturais Para O Fortalecimento De Políticas Públicas No Estado Do Pará, Por Meio Da Articulação De Práticas Agroecológicas, Tecnologias Sociais E Participação Social, Visando Ao Fortalecimento Da Promoção Da Saúde, Segurança Alimentar, Economia Solidária E À Qualificação Da Incidência Em Políticas Públicas.",Wagner De Jesus Martins,COLABORATÓRIO,5027.000202/2026-21,EMENDA PARLAMENTAR,DEP. AIRTON FALEIRO,,3910011,Pesquisa,2026-06-16,2027-12-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",400000.00,4800.00,395200.00,4800.00,0.00,0.00,0.00,0.00,100.00,98.80
128,GEREB-047-FIO-26,"Apoio À Estruturação Do Observatório Intersindical De Saúde, Trabalho E Direitos Em Articulação Com O Fórum Intersindical Do Distrito Federal","Implementar O Observatório Intersindical De Saúde, Trabalho E Direitos, No Distrito Federal E Região E Demais Territórios De Articulação E Intercâmbio, Alimentado Por Um Plano De Atividades De Comunicação E Informação Sobre Saúde, Trabalho E Ambiente.",Jorge Mesquita Huet Machado,PSAT,25027.000112/2026-31,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260011,Extensão,2026-06-22,2027-12-22,"Ciência, Tecnologia, Saúde E Sociedade",500000.00,45000.00,455000.00,4484.43,0.00,40515.57,40515.57,0.00,9.97,91.00
129,GEREB-043-FIO-26,Formação Para Promoção Da Cidadania: Fortalecer Os Territórios Para O Desenvolvimento Sustentável,"Fortalecer Os Territórios De Vida Do Estado Do Espírito Santo Por Meio Da Formação Cidadã E Sociopolítica Das Mulheres, Da Promoção Da Saúde E Do Bem Viver, Do Incentivo À Economia Solidária E Da Implementação De Estratégias De Desenvolvimento Territorial Sustentável, Contribuindo Para A Redução Das Desigualdades Sociais, Raciais E Territoriais E Para O Fortalecimento Da Participação Social No Âmbito Do Sistema Único De Saúde (Sus).",Osvaldo Peralta Bonetti,ANGICOS,25027.000228/2026-70,EMENDA PARLAMENTAR,DEP. JACK ROCHA,,43970002,Ensino,2026-06-16,2028-12-16,Atenção Em Saúde,5000000.00,0.00,5000000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
130,GEREB-038-FIO-26,Cidadania Sem Fronteiras: Consolidação Das Ações Voltadas À População Em Situação De Rua No Âmbito Da Justiça,Realizar Um Levantamento Das Ofertas E Das Práticas Do Sistema De Justiça Voltadas À Garantia De Direitos E Ampliação Do Acesso Da População Em Situação De Rua Às Políticas Públicas De Saúde.,Gustavo Correa Matta,NUPOP,25027.000296/2026-39,EMENDA PARLAMENTAR,DEP. ERIKA HILTON,,43680014,Pesquisa,2026-06-23,2027-06-23,Realização De Pesquisa E Desenvolvimento Tecnológico Em Saúde,700000.00,9660.00,690340.00,9660.00,0.00,0.00,0.00,0.00,100.00,98.62
131,GEREB-040-FIO-26,Efeitos E Segurança Do Uso Medicinal De Preparações À Base De Cannabis No Distrito Federal: Coorte De Pacientes E Participação Social.,Analisar Os Efeitos Do Uso Medicinal De Preparações À Base De Cannabis A Partir De Dados De Associação De Pacientes No Distrito Federal,Flávia Tavares Silva Elias,PEPTS,25027.000313/2026-38,EMENDA PARLAMENTAR,DEP. RODRIGO ROLLEMBERG,,25530020,Pesquisa,2026-06-23,2027-06-23,Realização De Pesquisa E Desenvolvimento Tecnológico Em Saúde,500000.00,1000.00,499000.00,1000.00,0.00,0.00,0.00,0.00,100.00,99.80
132,GEREB-048-FIO-26,"Ações De Educação Popular, Educação Permanente E Pesquisa Para A Qualificação Do Cuidado Em Saúde No Distrito Federal","Desenvolver Ações Pedagógicas E De Pesquisa Acerca Da Qualificação Do Cuidado Em Saúde E Do Enfrentamento De Determinantes Sociais Da Saúde, A Partir Da Formação Para E Da Gestão Do Trabalho, Da Educação Popular E De Educação Permanente.",Osvaldo Peralta Bonetti,ANGICOS,25027.000129/2026-98,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260011,Ensino,2026-06-18,2028-12-18,Atenção Em Saúde,5200000.00,0.00,5200000.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
